Time,Sales,,,,,,,,,,,
2018年1月,0,,,,,,,,,,,
2018年2月,12271.3,,,,,,,,,,,
2018年3月,19318.5,,,,,,,,,,,
2018年4月,25791.5,,,,,,,,,,,
2018年5月,32690.6,,,,,,,,,,,
2018年6月,40810,,,,,,,,,,,
2018年7月,47862.7,,,,,,,,,,,
2018年8月,55195.5,,,,,,,,,,,
2018年9月,62784.6,,,,,,,,,,,
2018年10月,70539.1,,,,,,,,,,,
2018年11月,80688.6,,,,,,,,,,,
2018年12月,90065,,,,,,,,,,,
2019年1月,0,,,,,,,,,,,
2019年2月,13982.8,,,,,,,,,,,
2019年3月,22378.7,,,,,,,,,,,
2019年4月,30439.3,,,,,,,,,,,
2019年5月,38641.3,,,,,,,,,,,
2019年6月,48160.6,,,,,,,,,,,
2019年7月,55972.5,,,,,,,,,,,
2019年8月,64393,,,,,,,,,,,
2019年9月,73237,,,,,,,,,,,
2019年10月,82307.1,,,,,,,,,,,
2019年11月,94957.8,,,,,,,,,,,
2019年12月,106324.2,,,,,,,,,,,
2020年1月,0,,,,,,,,,,,
2020年2月,13712,,,,,,,,,,,
2020年3月,22168.8,,,,,,,,,,,
2020年4月,30698,,,,,,,,,,,
2020年5月,40175.8,,,,,,,,,,,
2020年6月,51500.9,,,,,,,,,,,
2020年7月,60785.1,,,,,,,,,,,
2020年8月,70325.9,,,,,,,,,,,
2020年9月,80064.7,,,,,,,,,,,
2020年10月,91275.3,,,,,,,,,,,
2020年11月,105374.1,,,,,,,,,,,
2020年12月,117601.3,,,,,,,,,,,
2021年1月,0,,,,,,,,,,,
2021年2月,17586.8,,,,,,,,,,,
2021年3月,28092.7,,,,,,,,,,,
2021年4月,37638.1,,,,,,,,,,,
2021年5月,48238.9,,,,,,,,,,,
2021年6月,61132.5,,,,,,,,,,,
2021年7月,71108.1,,,,,,,,,,,
2021年8月,81226.7,,,,,,,,,,,
2021年9月,91870.9,,,,,,,,,,,
2021年10月,103765.4,,,,,,,,,,,
2021年11月,118749.2,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
